Tm,Lg,G,W,L
PHI,NL,162,81,81
LAD,NL,162,106,56
NYY,AL,162,103,59
MIN,AL,162,101,61
ATL,NL,162,97,65
OAK,AL,162,97,65
TBR,AL,162,96,66
BOS,AL,162,84,78
CHC,NL,162,84,78
TOR,AL,162,67,95
KCR,AL,162,59,103
MIA,NL,162,57,105
TEX,AL,162,78,84
SFG,NL,162,77,85
CIN,NL,162,75,87
CHW,AL,161,72,89
WSN,NL,162,93,69
CLE,AL,162,93,69
STL,NL,162,91,71
MIL,NL,162,89,73
PIT,NL,162,69,93
SEA,AL,162,68,94
NYM,NL,162,86,76
ARI,NL,162,85,77
LAA,AL,162,72,90
COL,NL,162,71,91
SDP,NL,162,70,92
BAL,AL,162,54,108
DET,AL,161,47,114
HOU,AL,162,107,55
